"","Column","lat","lng","label_place_of_publication","X20","city","country","language","dates_of_reprints","date","Column1","date.3","cartodb_id","translator_s","title","publisher","number_of_printings_and_or_editions","sales_figures_if_known","link_to_cover","link_to_sound_file_of_title","notes","source__w__worldcat__it__index_translationum","X_column","Column.23"
"1",110,52.4239475878091,13.4677884626936,"Berlin","Berlin","Berlin","Germany","German","0",1848,"###############################################################################################################################################################################################################################################################","",111,"Ernst Susemihl","Johanna Eyre","Duncker & Humblot","1",NA,"","","","",NA,""
"2",306,53.2777599057808,6.49022817722275,"Groningen","Groningen","Groningen","Netherlands","Dutch","0",1849,"###############################################################################################################################################################################################################################################################","",306,"Unknown","Jane Eyre, of Het leven eener gouvernante / Jane Eyre or the Life of a Governess","C.M. Van Bolhuis Hoitsema","1",NA,"","","Serial publication in 1849-50","WorldCat",NA,""
"3",22,50.8192887728901,4.35129572783197,"Brussels","Brussels","Brussels","Belgium","French ","0",1849,"###############################################################################################################################################################################################################################################################","",23,"Old Nick (Pseudonym of Paul Émile Daurand Forgues)","Jane Eyre ou Mémoires d’une gouvernante / Jane Eyre or Memoirs of a Governess","La Revue de Paris","3",NA,"","https://www.dropbox.com/s/zjowiz0xjws6frs/1849%20Paul%20Emile%20Daurand%20Forgues.mp3?dl=0","Serialisation April-June 1849; simultaneously serialised in the newspaper L’Indépendance belge 29 April – 28 June 1849; published as a two-volume book in the same year by Alp. Lebègue. This translation becomes the source text for the 1849 Spanish translation published in Paris, and for many others. Reference for  L’Indépendance belge publication is Helen MacEwan, Through Belgian Eyes: Charlotte Brontë's Troubled Brussels Legacy (2017), p. 243","",NA,""
"4",376,59.914791773121,30.193001293514,"St Petersburg","St Petersburg","St Petersburg","Russia","Russian","0",1849,"###############################################################################################################################################################################################################################################################","",376,"Irinarkh Vvedenskiĭ","Дженни Иръ / Dzhenni Ir. Roman / Jane Eyre. Novel","Otechestvennye zapiski","1",NA,"","","","",NA,""
"5",373,59.9555643987852,30.1894039183223,"St Petersburg","St Petersburg","St Petersburg","Russia","Russian","0",1849,"###############################################################################################################################################################################################################################################################","",373,"Unknown","Литературныя новости Англiи: Дженни Иръ: Автобiографiя (Literaturnyia novosti v Anglii: Dzhenni Ir'': Avtobiografiia) / England's Literary News: Jane Eyre: Autobiography","Biblioteka dlia chteniia","1",NA,"","","Vol. 94/2, Seg. 7, pp 151-172. Summary with translated excerpts","",NA,""
"6",NA,48.8508846435953,2.3887527694123,"Paris","Paris","Paris","France","Spanish","0",1849,"","",NA,"Unknown","Juana Eyre: Memorias de un aya","Administración del Correo de Ultramar (Xavier de Lassalle) ","",NA,"","","Translated from 'Old Nick''s French version first published in Brussels in 1849: here 'Oldt-Nick' (sic) is given as author, with no mention of Brontë. Source: Jay Dillon Rare Books + Manuscripts. This Spanish translation is then re-published in Santiago de Chile; Havana, Cuba; Matanzas, Cuba; and La Paz, Bolivia during  1850-51","",NA,""
"7",NA,55.5967821317177,12.5957375317459,"Copenhagen","Copenhagen","Copenhagen","Denmark","Danish","1856-7, 1884",1850,"###############################################################################################################################################################################################################################################################","",NA,"Unknown","En Guvernantes Memoirer / A Governess's Memoir","Morgenposten","3",NA,"","","Serialised from 1 February to 13 June. Source: Jay Dillon Rare Books + Manuscripts. Published by Jordans Forlag in volume form in the same year, as Jane Eyre, eller en Gouvernantes Memoirer / Jane Eyre, or a Governess's Memoir. Source: Erland Munch-Petersen, Bibliografi over oversættelser til dansk 1800-1900 af prosafiktion fra de germanske og romanske sprog, Rosenkilde og Bagger, 1976","http://bibliografi.dk/content.php?page=author&value=13323",NA,""
"8",124,48.8610794537589,9.09213905135569,"Stuttgart","Stuttgart","Stuttgart","Germany","German","0",1850,"###############################################################################################################################################################################################################################################################","",124,"Christoph Friedrich Grieb","Jane Eyre","Franckh","1",NA,"","","","",NA,""
"9",114,51.2500068145704,12.733942410131,"Grimma","Grimma","Grimma","Germany","German","0",1850,"###############################################################################################################################################################################################################################################################","",115,"Ludwig Fort","Jane Eyre: Memoiren einer Gouvernante/ Jane Eyre: Memoirs of a Governess","Verlags-Comptoir","1",NA,"","","Translated from 'Old Nick''s French version first published in Brussels in 1849","",NA,""
"10",371,59.978698811588,30.2758354435043,"St Petersburg","St Petersburg","St Petersburg","Russia","Russian","0",1850,"###############################################################################################################################################################################################################################################################","",371,"Unknown","Джен Эйр / Dzhen Eĭr. Roman Korrer Bellia / Jane Eyre: Novel by Currer Bell","Sovremennik","1",NA,"","","Vol. 21/6, pp. 31–38: magazine publication of a short summary of the novel, including excerpts from Irinarkh Vvedenskiĭ's translation (St Petersburg, 1949)","",NA,""
"11",NA,-33.4098558855597,-70.6086518731883,"Santiago de Chile","Santiago de Chile","Santiago de Chile","Chile","Spanish","",1850,"","",NA,"Unknown","Juana Eyre. Memorias de un aya","Imprenta del Progreso","",NA,"","","Serialisation in the newspaper El Progreso, 7th February - 4th April. Author is given as 'Oldt-Nick', with no mention of Brontë, as in the Paris 1849 translation which this edition reprints (like the other editions in Havana, Matanzas and La Paz during 1850-51)","",NA,""
"12",62,23.2129399000544,-82.4112321671331,"Havana","Havana","Havana","Cuba","Spanish","0",1850,"###############################################################################################################################################################################################################################################################","",62,"Unknown","Juana Eyre: memorias de un aya / Jane Eyre: Memoirs of a Governess","Diario de la Marina","1",NA,"","","Serialisation in the newspaper Diario de la Marina from late December 1850 to mid-February 1851 (the text can be seen in University of Florida Digital Collections, but the run is incomplete); printed as a volume by Imprenta del Diaro de la Marina, 1851. Source: M. Ortega Sáez, Traducciones del franquismo en el mercado literario español contemporáneo: el caso de Jane Eyre de Juan G. de Luaces. PhD dissertation. Universidad de Barcelona, 2013, pp. 149–150. Jay Dillon points out that this is a reprint of the Spanish translation, first published in Paris in 1849, of 'Old Nick's French version published in Brussels: the same translation is also published in Santiago de Chile, Matanzas and La Paz during 1850-51","Odisea nº 17: Revista de estudios ingleses by Carmen García Navarro : https://books.google.co.uk/",NA,""
