"","Column","lat","lng","label_place_of_publication","X20","city","country","language","dates_of_reprints","date","time","date.3","cartodb_id","translator_s","title","publisher","number_of_printings_and_or_editions","sales_figures_if_known","link_to_cover","link_to_sound_file_of_title","notes","source__w__worldcat__it__index_translationum","X_column","Column.23"
"1",383,-33.8372843262248,18.5095098118564,"Cape Town","Cape Town","Cape Town","South Africa","Afrikaans","2013",2005,"01/01/2005 00:00","",383,"Antoinette Stimie","Jane Eyre","Oxford University Press Southern Africa","2",NA,"https://www.dropbox.com/s/yaicd530tyqlxro/Stimie%202005.gif?dl=0","","Abridged; 'juvenile audience'","WorldCat",NA,""
"2",2,41.2571803230608,19.7401292903129,"Tirana","Tirana","Tirana","Albania","Albanian","0",2003,"01/01/2003 00:00","",2,"Dritan Koka","Xhein Airi / Jane Eyre","Unknown","1",NA,"","","","IT",NA,""
"3",1,41.2502476492713,19.8201773428139,"Tirana","Tirana","Tirana","Albania","Albanian","0",2014,"01/01/2014 00:00","",1,"Alina Karaulli","Xhein Airi / Jane Eyre","Pegi","1",NA,"https://www.dropbox.com/s/268dxy6v9pu0evi/2014%20Karaulli.jpg?dl=0","","","COBISS",NA,""
"4",85,9.09326386722637,38.8264082226908,"Addis Ababa","Addis Ababa","Addis Ababa","Ethiopia","Amharic","0",1981,"01/01/1981 00:00","",85,"Unknown","Žénʻéyer / Jane Eyre","Bolé Mātamiya Bét","1",NA,"","","","WorldCat",NA,""
"5",80,30.1427483790538,31.296983160961,"Cairo","Cairo","Cairo","Egypt","Arabic","0",1956,"01/01/1956 00:00","",77,"Ismāʻīl Kāmil","Jane Eyre / جین ایر  ","Kitābī Series","1",NA,"","","","",NA,""
"6",78,29.9645054413921,31.2774258187483,"Cairo","Cairo","Cairo","Egypt","Arabic","0",1965,"01/01/1965 00:00","",80,"Nūr al-Dimirdāsh"," جین ایر  / Jane Eyre","Egyptian Radio Station","1",NA,"","","","",NA,""
"7",274,33.8294100265679,35.5273660158969,"Beirut","Beirut","Beirut","Lebanon","Arabic","2001",1984,"01/01/1984 00:00","",274,"Unnamed group of translators","Jane Eyre, or Story of an Orphan / جين إيْر أو قصَّة يتيمة","Al-Mʿārif Press","2",NA,"","","","",NA,""
"8",275,33.7996817160592,35.4401832790345,"Beirut","Beirut","Beirut","Lebanon","Arabic","2006",1985,"01/01/1985 00:00","",275,"Munīr al-Baʿalbakī","Jane Eyre / جین اییر","Dār Al-ʿIlm Lil-Malāyīn","20",NA,"","","Also republished in Casablanca in 2006","",NA,""
"9",76,29.9839650299384,31.2750763180177,"Cairo","Cairo","Cairo","Egypt","Arabic","1996, 2007",1993,"01/01/1993 00:00","",81,"Nabīl Rāghib ","Jane Eyre /جین ایر","Dār al-Hilāl","1",NA,"","","Bilingual edition; later editions are with Al-Gharīb Publishing House","",NA,""
"10",NA,30.1024716400526,31.2585528804432,"Cairo","Cairo","Cairo","Egypt","Arabic","2007",1999,"01/01/1999 00:00","",NA,"Unknown","Jane Eyre /جین ایر","Dār Wa Maktabat Al-Hilāl","",NA,"","","Abridged; bilingual edition; published simultaneously in Damascus","",NA,""
