"","Column","lat","lng","label_place_of_publication","address","city","country","language","dates_of_reprints","date","time","date.3","cartodb_id","translator_s","title","publisher","number_of_printings_and_or_editions","sales_figures_if_known","link_to_cover","link_to_sound_file_of_title","notes","source__w__worldcat__it__index_translationum","X_column","Column.23"
"1",383,-33.9731091080208,18.5132798766053,"Cape Town","Cape Town","Cape Town","South Africa","Afrikaans","2013",2005,"01/01/2005 00:00","",383,"Antoinette Stimie","Jane Eyre","Oxford University Press Southern Africa","2",NA,"https://www.dropbox.com/s/yaicd530tyqlxro/Stimie%202005.gif?dl=0","","Abridged; 'juvenile audience'","WorldCat",NA,""
"2",2,41.2666188835448,19.8882552925743,"Tirana","Tirana","Tirana","Albania","Albanian","",2003,"01/01/2003 00:00","",2,"Dritan Koka","Xhein Airi / Jane Eyre","Unknown","1",NA,"","","","IT",NA,""
"3",1,41.3892276573277,19.8031592272003,"Tirana","Tirana","Tirana","Albania","Albanian","",2014,"01/01/2014 00:00","",1,"Alina Karaulli","Xhein Airi / Jane Eyre","Pegi","1",NA,"https://www.dropbox.com/s/268dxy6v9pu0evi/2014%20Karaulli.jpg?dl=0","","","COBISS",NA,""
"4",85,8.91885763118876,38.7662249816122,"Addis Ababa","Addis Ababa","Addis Ababa","Ethiopia","Amharic","",1981,"01/01/1981 00:00","",85,"Unknown","Žénʻéyer / Jane Eyre","Bolé Mātamiya Bét","1",NA,"","","","WorldCat",NA,""
"5",80,29.9745445982537,31.2455602961569,"Cairo","Cairo","Cairo","Egypt","Arabic","",1956,"01/01/1956 00:00","",77,"Ismāʻīl Kāmil","Jane Eyre / جین ایر  ","Kitābī Series","1",NA,"","","","",NA,""
"6",78,30.1388403554897,31.3456537603843,"Cairo","Cairo","Cairo","Egypt","Arabic","",1965,"01/01/1965 00:00","",80,"Nūr al-Dimirdāsh"," جین ایر  / Jane Eyre","Egyptian Radio Station","1",NA,"","","","",NA,""
"7",274,33.966598145171,35.5348518465411,"Beirut","Beirut","Beirut","Lebanon","Arabic","2001",1984,"01/01/1984 00:00","",274,"Unnamed group of translators","Jane Eyre, or Story of an Orphan / جين إيْر أو قصَّة يتيمة","Al-Mʿārif Press","2",NA,"","","","",NA,""
"8",275,33.8714277546582,35.521047041076,"Beirut","Beirut","Beirut","Lebanon","Arabic","2006",1985,"01/01/1985 00:00","",275,"Munīr al-Baʿalbakī","Jane Eyre / جین اییر","Dār Al-ʿIlm Lil-Malāyīn","20",NA,"","","Also republished in Casablanca in 2006","",NA,""
"9",76,30.0194515994734,31.3711479446362,"Cairo","Cairo","Cairo","Egypt","Arabic","1996, 2007",1993,"01/01/1993 00:00","",81,"Nabīl Rāghib ","Jane Eyre /جین ایر","Dār al-Hilāl","1",NA,"","","Bilingual edition; later editions are with Al-Gharīb Publishing House","",NA,""
"10",NA,30.0552305991746,31.32695971946,"Cairo","Cairo","Cairo","Egypt","Arabic","2007",1999,"01/01/1999 00:00","",NA,"Unknown","Jane Eyre /جین ایر","Dār Wa Maktabat Al-Hilāl","",NA,"","","Abridged; bilingual edition; published simultaneously in Damascus","",NA,""
"11",491,33.5678352099565,36.2449378639016,"Damascus","Damascus","Damascus","Syria","Arabic","2007",1999,"01/01/1999 00:00","",491,"Unknown","Jane Eyre /جین ایر","Dār al-Biḥār ","1",NA,"","","Abridged; bilingual edition; published simultaneously in Cairo","",NA,""
"12",81,30.090049924467,31.3175630141492,"Cairo","Cairo","Cairo","Egypt","Arabic","",2004,"01/01/2004 00:00","",79,"Ṣabrī al-Faḍl","Jane Eyre /جین ایر","Al Usra Press","1",NA,"","","Juvenile Edition","",NA,""
"13",271,31.9056084223226,35.9788422020588,"Amman","Al-Hussein Street, Building 12, Amman, Jordan","Amman","Jordan","Arabic","",2005,"01/01/2005 00:00","",271,"Samīr Izzat Naṣṣār","Jane Eyre /جین ایر","Al-Ahliyya Press","1",NA,"","","","",NA,""
"14",NA,33.4935700444431,-7.6190780928983,"Casablanca","Casablanca","Casablanca","Morocco","Arabic","",2006,"01/01/2006 00:00","",NA,"Munīr al-Baʿalbakī","Jane Eyre /جین اییر","Al-Markaz al-Thaqāfī Al-ʿArabī ","20",NA,"","","Edition in memory of translator Munīr al-Baʿalbakī (1919-1999), published simultaneously in Beirut. Al-Baʿalbakī's translation was originally published in Beirut in 1985 ","",NA,""
"15",NA,33.9754624041923,35.4149594653163,"Beirut","Beirut","Beirut","Lebanon","Arabic","",2008,"01/01/2008 00:00","",NA,"Unnamed group of translators","Jane Eyre /جین ایر","Dār Maktabat Al Maʿārif","",NA,"","","","",NA,""
"16",276,33.7946628820346,35.4798418276708,"Beirut","Beirut","Beirut","Lebanon","Arabic","",2010,"01/01/2010 00:00","",276,"Riḥāb ʿakāwī","Jane Eyre /جین ایر","Dār Al-Ḥarf al-ʿArabī","1",NA,"","","","",NA,""
"17",77,30.0205228165708,31.2684926189459,"Cairo and Alexandria, Egypt","Cairo","Cairo","Egypt","Arabic","",2012,"01/01/2012 00:00","",82,"Ḥilmī Murād","Jane Eyre /جین ایر","Modern Arab Foundation","1",NA,"","","","",NA,""
"18",272,29.2861766725343,47.9567178594064,"Kuwait City","Kuwait City","Kuwait City","Kuwait","Arabic","",2013,"01/01/2013 00:00","",272,"Amal al-Rifāʿī","Story of Jane Eyre /قصة جين اير","Dār Nāshirī Lil Nashr al-Ilikitrūni ","1",NA,"","","Electronic version","",NA,""
"19",82,30.0463179598366,31.0784236397637,"Giza","39 Khatem Al Morsaleen St. Omranya, Giza, Egypt","Giza","Egypt","Arabic","",2016,"01/01/2016 00:00","",75,"Unknown","Jane Eyre /جین ایر","Bayt al-Lughāt al-Duwaliyya","1",NA,"","","Bilingual edition, used to teach English","",NA,""
"20",542,25.1246313835413,55.3003249755352,"Dubai","Dubai","Dubai","United Arab Emirates","Arabic","",2016,"01/01/2016 00:00","",542,"Unknown","Jane Eyre /جین ایر","Dār Al Hudhud For Publishing and Distribution","1",NA,"","","Translation of a 're-telling' for children by Gill Tavner (2009)","",NA,""
"21",490,36.310196712772,37.2449304512858,"Aleppo","Aleppo","Aleppo","Syria","Arabic","",2017,"01/01/2017 00:00","",490,"Aḥmad Nabīl al-Anṣārī","Jane Eyre /جین ایر","Dār al-Nahj; Dār al-Firdaws","1",NA,"","","Abridged","",NA,""
"22",75,30.0421579316708,31.350834263626,"Cairo","6b, Gawad Hosni Street, Abdeen, Cairo, Egypt, 22613","Cairo","Egypt","Arabic","",2017,"01/01/2017 00:00","",76,"Unknown","Jane Eyre /جین ایر","Dār al-Alif Publishing House for Printing and Distribution","1",NA,"","","","",NA,""
"23",270,32.0388108202391,35.9439771801204,"Amman","Al-Hussein Street, Building 12, Amman, Jordan","Amman","Jordan","Arabic","",2017,"01/01/2017 00:00","",270,"Yūsif ʿAṭā al-Ṭarīfī","Jane Eyre /جین ایر","Al-Ahliyya Press","1",NA,"","","","",NA,""
